N,K,Solver,p,seed,restart_id,is_best_restart,experiment_phase,Feasibility Ratio (%),Optimization GAP (%),gap_best_of_restarts,Sharpe Ratio In-Sample,Sharpe Ratio Out-of-Sample,Execution Time (s),objective
8,4,Gurobi,,44,,True,N_scaling,100.0,0.0,0.0,2.2898484266643004,0.8684432439456065,0.004404799998155795,-0.17114689022786753
8,4,Simulated Annealing,,44,,True,N_scaling,100.0,0.0,0.0,2.2898484266643004,0.8684432439456065,0.018024100005277433,-0.17114689022786753
8,4,Standard QAOA,3.0,44,0.0,True,N_scaling,48.98126723680213,0.0,0.0,2.2898484266643004,0.8684432439456065,0.3254051999974763,-0.17114689022786753
8,4,XY-QAOA,3.0,44,,True,N_scaling,100.0,12.447560684942486,12.447560684942486,2.112881917690268,0.7714385878186845,0.30988230000366457,-0.1498432772063618
8,4,XY-QAOA Regularized,3.0,44,0.0,True,N_scaling,99.99999999999991,1.099688920966523,1.099688920966523,2.165952772548225,0.6663288158500591,0.31979589999536984,-0.16926480683745293
8,4,Gurobi,,45,,True,N_scaling,100.0,0.0,0.0,2.3243273563914553,1.1681966324458155,0.004275500003132038,-0.21320197150807466
8,4,Simulated Annealing,,45,,True,N_scaling,100.0,0.0,0.0,2.3243273563914553,1.1681966324458155,0.017518199994810857,-0.21320197150807466
8,4,Standard QAOA,3.0,45,0.0,True,N_scaling,95.82364405332507,0.0,0.0,2.3243273563914553,1.1681966324458155,0.3272103000053903,-0.21320197150807466
8,4,XY-QAOA,3.0,45,,True,N_scaling,100.0,16.15738420947781,16.15738420947781,2.0899115257993777,0.9283236541089306,0.3171973999997135,-0.17875410982933362
8,4,XY-QAOA Regularized,3.0,45,0.0,True,N_scaling,99.99999999999997,16.15738420947781,16.15738420947781,2.0899115257993777,0.9283236541089306,0.3390551999909803,-0.17875410982933362
8,4,Gurobi,,46,,True,N_scaling,100.0,0.0,0.0,2.411032783861025,0.47142660326244507,0.0043507999944267794,-0.17278419732094824
8,4,Simulated Annealing,,46,,True,N_scaling,100.0,0.0,0.0,2.411032783861025,0.47142660326244507,0.0190223999961745,-0.17278419732094824
8,4,Standard QAOA,3.0,46,0.0,True,N_scaling,91.70453221390073,52.22331488812688,52.22331488812688,1.1068796769022102,1.9400610580552224,0.327954000007594,-0.08255056187710695
8,4,XY-QAOA,3.0,46,,True,N_scaling,100.0,17.81518178164215,17.81518178164215,1.7994151478076081,1.762541387709989,0.3157193999941228,-0.14200237847827005
8,4,XY-QAOA Regularized,3.0,46,0.0,True,N_scaling,99.99999999999997,0.0,0.0,2.411032783861025,0.47142660326244507,0.33713890000944957,-0.17278419732094824
8,4,Gurobi,,47,,True,N_scaling,100.0,0.0,0.0,2.351951949713781,0.5911471953039968,0.004412899987073615,-0.1727303676515245
8,4,Simulated Annealing,,47,,True,N_scaling,100.0,0.0,0.0,2.351951949713781,0.5911471953039968,0.017392099995049648,-0.1727303676515245
